b,25weeks,50weeks,100weeks
1.0,2427.965410544119,2427.967063007555,2427.967063007558
0.8,1875.4095437644532,1862.6152606901264,1813.24325377689
0.6,-400.0334564973313,-799.6357852968152,-1594.8572342944585
0.5,-625.2385209932976,-1250.236238851433,-2500.2316934149953
